customer_sk,customer_id,customer_name,customer_segment,marital_status,gender,dob,start_day,end_day,is_current
202,156,Mister. Diana Xu,Corporate,Single,Male,1990-02-05,0,,True
233,164,Dr. Robin Kramer Vaughn,Home Office,Single,Female,1988-02-05,0,,True
237,166,Miss. Vicki Hauser,Consumer,Single,Female,1986-02-05,0,,True
252,169,Mr. Janice Cole,Corporate,Single,Male,1993-02-05,0,,True
262,171,Professor Christina Matthews,Corporate,Single,Female,1991-02-08,0,,True
299,181,Doctor. Wesley Waller,Corporate,Single,Female,1994-02-05,0,,True
309,184,Prof. Phillip Holmes,Small Business,Single,Female,1991-02-05,0,,True
319,188,Mrs. ALEX nan harrell,Corporate,Single,Male,1997-02-05,0,1.0,False
320,188,Mrs. AlEx nan harrell,Corporate,Married,Male,1997-02-05,1,2.0,False
321,188,Mrs. Alex nan Harrell,Corporate,Divorced,Male,1997-02-05,2,,True
328,190,Mister. Lloyd nan Norris,Corporate,Single,Female,1997-02-05,0,,True
334,191,Mister. Gerald nan Kearney,Corporate,Single,Male,1993-02-05,0,,True
341,193,Prof. Danny Hong,Corporate,Single,Male,1990-02-05,0,,True
345,194,Professor Tammy Goldman,Corporate,Single,Female,1990-02-05,0,,True
358,197,Miss Samantha nan Weaver,Small Business,Single,Female,1997-02-05,0,,True
363,198,Mrs Leroy nan Blanchard,Small Business,Single,Female,1990-02-05,0,,True
373,202,Mr. Max nan Small,Corporate,Single,Female,1992-02-05,0,,True
405,210,Doctor. Floyd Dale,Home Office,Single,Male,1994-02-05,0,,True
409,211,Dr. Anna Wood,Home Office,Married,Female,1991-02-05,0,,True
432,218,Dr. Frances Saunders,Consumer,Single,Male,1991-02-05,0,,True
474,228,Miss. Colleen Andrews,Small Business,Single,Female,1989-12-08,0,,True
486,233,Mr. Michele nan Bullard,Small Business,Single,Female,1998-02-05,0,,True
490,234,Mr. Don nan Cameron,Small Business,Single,Male,1992-02-05,0,,True
500,236,Doctor. Shawn McIntyre,Corporate,Single,Female,1992-02-05,0,,True
512,240,Prof. Gilbert Scarborough,Small Business,Single,Male,1991-02-05,0,,True
516,241,Professor Amy Ellis Holder,Small Business,Married,Female,1998-02-05,0,,True
541,247,Miss. Marshall Brandt Briggs,Corporate,Single,Female,1993-02-05,0,,True
562,250,Mistress Brenda Nelson Blanchard,Corporate,Single,Male,1990-02-05,0,,True
580,254,Dr. Brett Hawkins,Home Office,Single,Male,1989-12-09,0,,True
586,256,Professor Irene Li,Home Office,Single,Male,1990-02-05,0,,True
594,258,Mrs. Allan Shields,Consumer,Married,Male,1995-02-05,0,,True
596,259,Doctor. Edward Pugh,Consumer,Single,Male,1991-02-05,0,,True
613,263,Prof. Carlos Hess,Small Business,Single,Male,1990-12-08,0,,True
623,266,Mrs Ross nan Frederick,Corporate,Single,Female,1993-02-05,0,,True
630,268,Prof. James Beck,Home Office,Single,Male,1990-12-07,0,,True
635,269,Professor Calvin Boyette,Home Office,Single,Male,1991-02-05,0,,True
641,271,Miss. Sam Rouse,Small Business,Single,Female,1994-02-05,0,,True
646,272,Mr. Eleanor Swain,Home Office,Single,Male,1993-02-05,0,,True
653,275,Doctor. Roger Blalock Cassidy,Corporate,Single,Female,1993-02-05,0,,True
657,276,Dr. Lucille Rankin,Corporate,Single,Female,1996-02-05,0,,True
680,282,Professor Vickie Andrews,Corporate,Single,Female,1992-02-05,0,,True
683,283,Prof. Pauline Boyette,Corporate,Single,Female,1993-02-05,0,,True
696,286,Mistress. Virginia nan Gay,Small Business,Single,Female,1996-12-07,0,,True
705,288,Mrs Patricia Cole Blair,Small Business,Single,Female,1991-02-05,0,,True
712,290,Dr. Sara O'Connor,Small Business,Single,Female,1994-02-05,0,,True
765,306,Doctor. Thomas McAllister,Small Business,Single,Female,1994-02-05,0,,True
774,308,Doctor. Glen Caldwell,Small Business,Single,Male,1992-02-05,0,,True
800,314,Mrs Ruby nan Gibbons,Corporate,Single,Female,1991-02-05,0,,True
803,315,Dr. Benjamin Kaufman,Corporate,Single,Male,1994-02-06,0,,True
810,317,Prof. Katherine Kearney,Corporate,Single,Female,1999-02-05,0,,True
820,321,Professor Arthur Lowe Nash,Consumer,Married,Male,1992-02-06,0,,True
842,326,Miss. Brenda nan May,Consumer,Single,Male,1990-02-06,0,,True
849,329,Prof. Faye Dyer,Home Office,Single,Male,1992-12-07,0,,True
859,331,Doctor. Bradley Pollock,Home Office,Single,Male,1992-02-09,0,,True
878,335,Professor Curtis O'Connell,Corporate,Single,Male,1989-12-07,0,,True
896,339,Dr. Bobby Clements,Corporate,Single,Male,1989-12-07,0,,True
900,342,Mr. Jacqueline Noble,Corporate,Single,Male,1989-02-05,0,,True
901,343,Professor Lynn Epstein,Corporate,Single,Female,1991-12-07,0,,True
902,344,Prof. Rosemary English,Corporate,Single,Female,1994-02-05,0,,True
904,349,Mistress. Kim Weiss,Home Office,Single,Female,1991-12-07,0,,True
905,351,Doctor. Juanita Coley Knox,Home Office,Single,Female,1990-12-07,0,,True
906,353,Dr. Bonnie Chambers,Home Office,Single,Male,1990-02-05,0,,True
907,357,Doctor. bArBAra McNamara,Corporate,Single,Female,1992-12-08,0,,True
908,358,Dr. Chris F Brandt,Corporate,Single,Male,1989-02-05,0,,True
909,366,Professor Patrick Rosenthal,Small Business,Single,Female,1998-02-05,0,,True
910,369,Prof. Troy Moon,Corporate,Single,Female,1994-12-07,0,,True
911,370,Prof. Sam Oh,Corporate,Single,Female,1993-02-05,0,,True
912,371,Doctor. Roberta Mullins Peters,Corporate,Single,Female,1998-02-05,0,,True
913,373,Miss. Jeanne nan Werner,Small Business,Single,Male,1992-02-05,0,,True
914,375,Miss. Sandra Sharma,Small Business,Single,Female,1994-02-05,0,,True
915,377,Miss. Sylvia nan Bush,Consumer,Single,Female,1995-02-05,0,,True
916,381,Miss. Danielle nan Watts,Corporate,Single,Male,1990-02-08,0,,True
917,383,Dr. Renee Alston,Corporate,Single,Female,1992-02-05,0,,True
918,388,Mr. Roger nan Schwartz,Corporate,Single,Female,1996-02-05,0,,True
919,389,Mr Joel nan Buckley,Corporate,Single,Female,1992-12-07,0,,True
920,392,Mrs. Erica R Fuller,Corporate,Single,Male,1993-12-07,0,,True
921,393,Professor Shawn Combs,Corporate,Single,Female,1991-02-05,0,,True
922,395,Miss. Monica McCormick,Corporate,Single,Female,1989-02-05,0,,True
923,397,Prof. Denise Carver,Corporate,Single,Male,1989-12-10,0,,True
924,398,Doctor. Bruce Stark,Corporate,Single,Male,1989-12-09,0,,True
926,406,Dr. June Frank Hammond,Small Business,Single,Female,1992-02-05,0,,True
927,408,Mr. Calvin Parsons Walter,Corporate,Single,Male,1991-02-07,0,,True
928,411,Professor Carolyn Proctor,Consumer,Single,Male,1990-02-07,0,,True
929,421,Professor Scott Feldman,Small Business,Single,Female,1989-02-05,0,,True
930,428,Dr. Ernest Barber,Corporate,Single,Male,1992-02-05,0,,True
931,437,Mrs. Alice Berger McIntyre,Small Business,Married,Female,1998-02-05,0,,True
933,444,Mr Thelma nan Abrams,Small Business,Single,Female,1996-12-07,0,,True
934,445,Mrs. Judy nan Barrett,Small Business,Single,Female,1995-02-05,0,,True
935,447,Mrs. Valerie nan Moon,Corporate,Single,Female,1997-02-05,0,,True
936,451,Doctor. Joyce Murray,Home Office,Single,Female,1994-02-05,0,,True
937,452,Prof. Leslie Rowland,Home Office,Single,Female,1995-02-05,0,,True
938,453,Professor George Terry,Corporate,Single,Male,1992-12-07,0,,True
940,460,Doctor. Anne Armstrong,Home Office,Married,Female,1991-02-06,0,,True
941,463,Dr. Debbie Stevenson,Small Business,Single,Male,1992-02-05,0,,True
942,466,Dr. Marc Nash,Small Business,Single,Female,1996-02-05,0,,True
943,467,Professor Maria Thomas,Small Business,Single,Female,1995-12-07,0,,True
944,468,Prof. Craig Bennett,Small Business,Single,Male,1990-02-06,0,,True
945,469,Doctor. Marion Bowling,Small Business,Single,Female,1995-12-07,0,,True
946,470,Dr. Tony Doyle,Small Business,Single,Female,1991-02-05,0,,True
947,471,Mrs. Ross Simpson,Consumer,Single,Female,1988-02-05,0,,True
948,472,Professor Donna Craven,Consumer,Single,Male,1990-02-06,0,,True
949,483,Mr Edgar nan McKenzie,Corporate,Single,Male,1993-02-05,0,,True
950,485,Doctor. Edward Leonard,Corporate,Single,Male,1989-02-05,0,,True
951,487,Prof. Molly Vincent,Corporate,Single,Female,1992-02-05,0,,True
952,488,Doctor. Ronnie Creech,Corporate,Single,Female,1988-02-05,0,,True
953,489,Dr. Eileen Cheek,Corporate,Single,Male,1991-02-05,0,,True
954,491,Professor Toni Swanson,Consumer,Single,Female,1988-02-05,0,,True
955,493,Prof. Douglas Buck,Consumer,Single,Male,1990-02-05,0,,True
956,494,Professor Jimmy Alston Holder,Consumer,Single,Male,1993-02-05,0,,True
957,497,Miss. Steve McKee,Small Business,Single,Female,1994-02-05,0,,True
958,507,Doctor Carol Saunders,Corporate,Single,Male,1990-02-05,0,,True
959,508,Dr. Cameron Owens,Corporate,Single,Male,1989-12-07,0,,True
960,510,Dr. Gregory Rao,Corporate,Single,Male,1991-02-05,0,,True
961,518,Mister. Mark nan Ritchie,Home Office,Single,Female,1992-12-07,0,,True
962,522,Mr. Aaron Riggs,Small Business,Single,Male,1997-02-05,0,0.0,False
962,522,Prof. Aaron Riggs,Small Business,Married,Male,1997-02-05,0,0.0,False
962,522,Professor Aaron Riggs,Small Business,Married,Male,1997-02-05,0,1.0,False
963,522,Mr. AARON Riggs,Small Business,Married,Male,1997-02-05,1,2.0,False
964,522,Mr. aARON Riggs,Small Business,Divorced,Male,1997-02-05,2,,True
965,524,Prof. Gina McKnight,Consumer,Single,Male,1990-02-05,0,,True
966,526,Dr. April Hu,Home Office,Married,Male,1991-02-05,0,,True
968,535,Professor. Jill Clements,Corporate,Single,Male,1991-02-05,0,,True
969,539,Miss. Alice nan Coley,Small Business,Married,Female,1998-02-05,0,,True
971,540,Miss. Ruth nan Lamm,Small Business,Single,Female,1997-02-05,0,,True
972,549,Doctor. Dennis Boykin Townsend,Corporate,Single,Male,1990-02-06,0,,True
973,550,Mrs. Edna Monroe Talley,Corporate,Single,Male,1992-02-05,0,,True
974,551,Professor Peggy nan Chan,Corporate,Single,Female,1986-02-05,0,,True
975,553,Prof. Kristine Connolly,Corporate,Single,Female,1992-12-07,0,,True
976,555,Professor Walter Young,Corporate,Single,Female,1993-12-07,0,,True
977,556,Dr. Kristina Sanders,Home Office,Single,Female,1989-02-05,0,,True
979,568,Doctor Peter McConnell,Consumer,Single,Female,1988-02-05,0,,True
981,570,Doctor. Katharine Bass,Consumer,Single,Female,1995-02-05,0,,True
982,573,Prof. Vanessa nan Winstead,Corporate,Single,Female,1995-02-05,0,,True
983,576,Prof. Gordon Lyon,Corporate,Single,Male,1993-02-05,0,,True
984,578,Prof. Evan K Bullard,Corporate,Single,Male,1991-02-05,0,,True
985,579,Doctor. Marlene Abrams,Corporate,Single,Female,1994-02-05,0,,True
986,580,Dr. Kathryn Patrick,Corporate,Single,Female,1991-02-05,0,,True
987,584,Professor Timothy Currie,Corporate,Single,Female,1990-02-05,0,,True
988,585,Prof. William Larson,Corporate,Single,Female,1996-02-05,0,,True
989,592,Doctor. Eva nan Silverman,Small Business,Single,Male,1990-02-05,0,,True
990,593,Dr. Joel nan Huffman,Small Business,Single,Female,1990-02-05,0,,True
991,594,Professor Charlie nan Moore,Consumer,Single,Male,1990-12-07,0,,True
992,596,Prof. Doris nan Fitzpatrick,Consumer,Single,Male,1990-12-07,0,,True
993,597,Mr. AlexandrA nan WISE,Small Business,Divorced,Male,1998-02-05,0,1.0,False
994,597,Mr. AleXandra nan WISE,Small Business,Remarried,Male,1998-02-05,1,2.0,False
995,597,Mr. Alexandra nan Wise,Small Business,Married,Male,1998-02-05,2,,True
997,600,Doctor. Vickie Morse,Corporate,Single,Female,1998-02-05,0,,True
998,603,Professor Gretchen Ball,Home Office,Single,Male,1990-02-05,0,,True
999,604,Dr. Lindsay P Ashley,Home Office,Single,Female,1992-02-05,0,,True
1000,605,Mr. Alison Peters Wooten,Corporate,Married,Male,1997-12-07,0,,True
1001,617,Doctor. brett sCHultz,Consumer,Single,Male,1990-02-05,0,,True
1002,618,Prof. Robert Cowan,Consumer,Single,Female,1993-02-05,0,,True
1003,619,Dr. Howard nan Rogers,Consumer,Single,Male,1991-12-07,0,,True
1004,621,Professor Heather Stern,Home Office,Single,Male,1993-02-05,0,,True
1005,622,Prof. Hazel Khan,Home Office,Single,Male,1992-02-05,0,,True
1006,624,Doctor. Terry Klein,Home Office,Single,Female,1996-02-05,0,,True
1007,627,Dr. Scott McKenna,Corporate,Single,Female,1990-02-05,0,,True
1009,635,Professor Juan nan Justice,Corporate,Single,Female,1993-02-05,0,,True
1010,637,Professor Christopher Bryant,Consumer,Single,Female,1990-12-12,0,,True
1011,638,Dr. Brooke Shepherd,Consumer,Single,Male,1990-02-05,0,,True
1012,640,Doctor. Neal Wolfe,Consumer,Single,Female,1995-02-05,0,,True
1013,646,Prof. Robin nan High,Corporate,Single,Female,1985-12-07,0,,True
1014,648,Doctor. Steve nan O'Brien,Home Office,Single,Female,1994-12-07,0,,True
1015,649,Dr. Roger nan Meyer,Home Office,Single,Female,1994-02-05,0,,True
1017,651,Prof. Leah Clapp,Consumer,Single,Female,1999-02-05,0,,True
1018,653,Professor Ann Katz,Consumer,Married,Female,1991-02-10,0,,True
1019,657,Professor Derek McCormick,Consumer,Single,Male,1990-02-09,0,,True
1020,659,Prof. Marjorie Arthur,Consumer,Single,Female,1990-02-05,0,,True
1021,663,Doctor. Hilda Bennett,Home Office,Single,Male,1992-12-07,0,,True
1022,665,Dr. Miriam Mueller,Corporate,Single,Female,1996-12-07,0,,True
1023,666,Prof. Emily Sims,Corporate,Single,Male,1992-02-05,0,,True
1024,667,Professor Allison nan Kirby,Corporate,Married,Male,1994-12-07,0,0.0,False
1024,667,Professor Allison Kirby,Corporate,Married,Male,1994-12-07,0,,True
1025,669,Prof. Amy nan Shea,Home Office,Married,Female,1992-02-05,0,,True
1026,670,Professor. Lewis Baldwin,Home Office,Single,Female,1990-12-07,0,,True
1027,672,Doctor. Brian nan Leach,Small Business,Single,Male,1990-02-05,0,,True
1028,674,Mr AlBERT nan FROST,Small Business,Divorced,Male,1993-02-06,0,1.0,False
1029,674,Mr aLBERT nan frosT,Small Business,Remarried,Male,1993-02-06,1,2.0,False
1030,674,Mr Albert nan Frost,Small Business,Married,Male,1993-02-06,2,,True
1032,678,Doctor Edward McKenzie,Corporate,Single,Male,1990-02-05,0,,True
1033,679,Dr. Katie Dougherty,Corporate,Single,Female,1998-02-05,0,,True
1035,680,Doctor. Laurence Poe,Corporate,Single,Female,1991-02-05,0,,True
1036,683,Professor Seth nan Merrill,Small Business,Single,Female,1992-12-07,0,,True
1037,688,Prof. Ashley nan Reese,Small Business,Married,Male,1993-02-05,0,,True
1038,689,Doctor. Tommy nan Honeycutt,Small Business,Single,Female,1994-02-05,0,,True
1040,691,Prof. Alicia Curtis,Home Office,Married,Female,1998-02-05,0,,True
1041,693,Professor Richard McClure,Small Business,Single,Female,1995-12-07,0,,True
1042,696,Dr. Johnny nan Reid,Corporate,Single,Female,1991-02-05,0,,True
1043,697,Mister. Adam G Sawyer,Corporate,Married,Male,1997-02-05,0,1.0,False
1044,697,Mister. aDAM G sawyer,Corporate,Divorced,Male,1997-02-05,1,2.0,False
1045,697,Mister. Adam G Sawyer,Corporate,Remarried,Male,1997-02-05,2,,True
1046,698,Dr. Nelson Hensley,Corporate,Single,Female,1995-02-05,0,,True
1047,699,Doctor. Jenny Gold,Consumer,Single,Male,1998-02-05,0,,True
1048,700,Prof. Joseph Grossman,Consumer,Single,Female,1992-02-05,0,,True
1049,702,Professor Kelly O'Connor,Consumer,Single,Female,1989-02-05,0,,True
1051,711,Dr. Pam Anthony,Consumer,Single,Female,1988-02-05,0,,True
1052,719,Dr. Stephen Lam,Corporate,Single,Female,1993-02-05,0,,True
1053,721,Prof. Melvin nan Duke,Corporate,Single,Female,1996-02-05,0,,True
1054,724,Professor Beverly Cooke Brooks,Consumer,Single,Female,1990-02-07,0,,True
1055,727,Prof. Lindsay Link,Consumer,Single,Female,1987-02-05,0,,True
1056,731,Doctor. June Herbert,Consumer,Single,Female,1993-02-05,0,,True
1057,736,Dr. Meredith Walters,Consumer,Single,Female,1986-12-07,0,,True
1058,737,Professor Danny Vaughn,Consumer,Single,Male,1990-02-06,0,,True
1059,738,Prof. Peggy Rowe,Consumer,Single,Female,1988-12-07,0,,True
1060,741,Doctor. Stacey Hale,Consumer,Single,Female,1991-02-05,0,,True
1061,744,Doctor. Joy Maxwell,Consumer,Single,Female,1993-02-05,0,,True
1062,745,Prof. Mary Page,Consumer,Single,Female,1998-02-05,0,,True
1063,750,Dr. Jordan Wilkinson,Corporate,Single,Female,1993-02-05,0,,True
1064,751,Prof. David Wrenn,Corporate,Single,Male,1992-12-08,0,,True
1065,753,Professor Elisabeth Massey,Corporate,Single,Male,1990-02-05,0,,True
1066,754,Dr. Helen Lyons,Consumer,Single,Male,1993-02-05,0,,True
1067,757,Doctor. Neil Hogan,Home Office,Single,Female,1986-02-05,0,,True
1068,759,Doctor. Bernice F Day,Small Business,Single,Male,1995-02-09,0,,True
1069,762,Prof. Stuart Holloway,Small Business,Single,Female,1987-02-05,0,,True
1070,767,Dr. Jeffrey nan Mueller,Corporate,Single,Male,1993-02-05,0,,True
1071,770,Professor Geraldine Puckett,Small Business,Single,Male,1992-02-05,0,,True
1072,771,Dr. Deborah Paul,Small Business,Single,Male,1990-02-05,0,,True
1073,772,Dr. Jean Webster,Small Business,Single,Male,1994-02-05,0,,True
1074,782,Doctor. Sarah N Becker,Small Business,Single,Female,1995-02-05,0,,True
1075,783,Professor Carlos Byrd,Small Business,Single,Male,1989-12-10,0,,True
1076,786,Prof. Jason Bray,Home Office,Single,Male,1990-02-05,0,,True
1077,792,Professor Holly nan Pate,Corporate,Single,Male,1990-02-05,0,,True
1078,796,Prof. Amanda nan Conner,Corporate,Married,Female,1996-02-05,0,,True
1079,797,Professor Eileen Riddle,Corporate,Single,Male,1992-02-05,0,,True
1080,799,Professor. Lee McKenna Gregory,Consumer,Single,Female,1992-02-05,0,,True
1081,800,Dr. Cheryl Guthrie,Consumer,Single,Male,1991-02-05,0,,True
1082,803,Doctor Marianne Goldstein,Small Business,Single,Female,1989-02-05,0,,True
1083,806,Dr. Judy Singer,Small Business,Single,Female,1989-02-05,0,,True
1084,820,Doctor. Catherine Mullins,Small Business,Single,Male,1990-02-06,0,,True
1085,823,Prof. Christian Albright,Small Business,Single,Female,1990-12-08,0,,True
1086,824,Professor. Joann Moser,Small Business,Single,Female,1990-12-07,0,,True
1087,825,Doctor. Marvin nan Hunt,Home Office,Single,Female,1988-02-05,0,,True
1088,827,Dr. Sheryl nan Marsh,Home Office,Single,Female,1990-02-05,0,,True
1089,829,Doctor Monica Law Thompson,Corporate,Single,Female,1987-02-05,0,,True
1090,830,Prof. Douglas Sutton,Corporate,Single,Male,1991-02-05,0,,True
1091,833,Professor Gerald Love,Corporate,Single,Male,1989-02-05,0,,True
1094,850,Dr. Jesse Hutchinson,Corporate,Single,Male,1989-02-05,0,,True
1095,851,Doctor. Helen H Heller,Corporate,Single,Male,1994-02-05,0,,True
1096,853,Prof. Leah Davenport,Small Business,Single,Female,1987-02-05,0,,True
1097,854,Prof. Karen Hendricks,Corporate,Single,Female,1992-02-05,0,,True
1098,855,Doctor. Jacob Lanier,Corporate,Single,Male,1993-02-05,0,,True
1099,858,Dr. Arthur Brady,Corporate,Married,Male,1993-02-09,0,,True
1100,865,Professor Dana nan Burgess,Corporate,Single,Male,1990-02-05,0,,True
1101,868,Prof. Sharon nan Ellis,Corporate,Single,Female,1988-12-07,0,,True
1102,871,Professor Sandy Ellington,Home Office,Single,Female,1998-02-05,0,,True
1103,875,Dr. Erika Fink,Small Business,Single,Male,1994-02-05,0,,True
1105,880,Doctor. Ellen Beck,Small Business,Single,Male,1992-02-05,0,,True
1106,885,Doctor. Malcolm nan Robertson,Corporate,Single,Female,1990-12-07,0,,True
1108,890,Dr. Billie nan Fowler,Consumer,Single,Female,1990-02-05,0,,True
1109,894,Professor Gail Rankin Cole,Corporate,Single,Male,1991-02-05,0,,True
1110,896,Professor Jennifer nan Siegel,Corporate,Single,Male,1992-02-05,0,,True
1111,898,Prof. Harriet Hodges,Small Business,Single,Male,1993-02-05,0,,True
1112,899,Doctor. Jordan Berry,Small Business,Single,Female,1992-02-05,0,,True
1113,903,Dr. Francis Spivey,Consumer,Single,Male,1993-02-05,0,,True
1114,907,Dr. Rachel Casey,Home Office,Single,Female,1989-02-05,0,,True
1115,910,Prof. Carla Hauser,Corporate,Single,Male,1990-02-06,0,,True
1116,911,Professor Marsha P Joyner,Corporate,Single,Female,1989-02-05,0,,True
1117,915,Prof. Carol nan Sherrill,Home Office,Single,Male,1989-12-08,0,,True
1118,916,Doctor. Marion nan Wilcox,Corporate,Single,Female,1989-02-05,0,,True
1119,918,Prof. Kerry Jernigan,Corporate,Single,Female,1998-12-07,0,,True
1120,919,Professor Tracy Livingston,Consumer,Single,Female,1989-02-05,0,,True
1122,920,Dr. Jessie Kelly,Consumer,Single,Male,1991-02-05,0,,True
1123,922,Doctor. Dolores Abrams,Small Business,Single,Male,1992-02-06,0,,True
1124,925,Prof. Ruth Dudley,Small Business,Single,Female,1995-02-05,0,,True
1125,929,Doctor. Calvin Conway,Small Business,Single,Male,1990-12-08,0,,True
1127,936,Prof. Robyn Garner,Corporate,Single,Female,1992-02-05,0,,True
1128,937,Professor Kelly Shaw,Corporate,Single,Female,1991-02-05,0,,True
1129,940,Mr. Albert Maxwell,Home Office,Single,Male,1992-12-09,0,1.0,False
1130,940,Mr. ALBERT Maxwell,Home Office,Married,Male,1992-12-09,1,2.0,False
1131,940,Mr. Albert Maxwell,Home Office,Divorced,Male,1992-12-09,2,,True
1132,945,Dr. Stephanie Sun Perry,Home Office,Single,Female,1991-02-05,0,,True
1133,946,Professor Denise Parks,Home Office,Single,Male,1989-12-12,0,,True
1134,947,Prof. Dorothy Buchanan,Home Office,Single,Male,1990-12-08,0,,True
1135,949,Doctor. Ernest Oh,Consumer,Single,Male,1991-02-05,0,,True
1137,950,Dr. Jane nan Shah,Consumer,Single,Male,1992-02-05,0,,True
1138,954,Professor Tony nan Chandler,Small Business,Single,Female,1990-02-05,0,,True
1139,959,Prof. Sally nan House,Corporate,Single,Female,1989-02-05,0,,True
1140,960,Prof. Phillip Chappell,Home Office,Single,Female,1990-02-05,0,,True
1141,961,Professor Benjamin Chan,Home Office,Single,Male,1992-12-12,0,,True
1142,962,Doctor. Yvonne nan Clarke,Home Office,Single,Female,1990-02-05,0,,True
1143,970,Professor. Lynn Payne,Consumer,Single,Female,1997-12-07,0,,True
1144,972,Dr. Gregory Holden,Corporate,Single,Male,1990-12-07,0,,True
1145,975,Doctor. Francis Evans,Corporate,Single,Male,1992-02-05,0,,True
1147,980,Dr. Howard Burnett,Corporate,Single,Male,1991-02-05,0,,True
1148,983,Doctor Sue Drake,Corporate,Single,Female,1989-02-05,0,,True
1149,993,Doctor. Gail Currin,Small Business,Single,Male,1993-02-05,0,,True
1150,994,Professor Neal Weber,Small Business,Single,Female,1990-12-07,0,,True
1151,995,Prof. Lloyd Spencer,Small Business,Single,Female,1998-02-05,0,,True
1152,997,Doctor. Phillip Pollard,Small Business,Single,Female,1992-02-05,0,,True
1154,999,Dr. Rita Barton,Small Business,Single,Female,1988-02-05,0,,True
1,1000,Professor Lynn Bell,Small Business,Single,Female,1990-12-07,0,,True
2,1005,Dr. Lloyd nan Dickson,Small Business,Single,Female,1989-02-05,0,,True
3,1008,Prof. Priscilla Frank,Home Office,Single,Female,1998-02-05,0,,True
4,1009,Doctor. Kristin George,Corporate,Single,Female,1996-12-07,0,,True
5,1014,Dr. Theresa Winters,Home Office,Single,Female,1992-02-05,0,,True
6,1015,Prof. Beverly Cameron,Home Office,Single,Female,1990-02-06,0,,True
