Customer ID,Customer Name,Customer_Segment,Maritial_Status,Gender,DOB,Effective_Start_Dt,Effective_End_Dt,Policy_Type_Id,Policy_Type,Policy_Type_Desc,Policy_Id,Policy_Name,Premium_Amt,Policy_Term,Policy_Start_Dt,Policy_End_Dt,Next_Premium_Dt,Actual_Premium_Paid_Dt,Country,Region,State or Province,City,Postal Code,Total_Policy_Amt,Premium_Amt_Paid_TillDate
1776,Dr. Charlotte nan Patterson,Consumer,Single,Male,1989-02-05,2005-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_1776,HSB_Lifeclaim_13579,5000,Quarterly,2005-12-31,2028-12-27,2009-03-31,2009-09-25,USA,Central,Indiana,Terre Haute,47802,500000,60000
2796,Professor Cindy nan McLeod,Corporate,Divorced,Female,1990-02-06,2007-01-01,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2796,HSB_Lifeclaim_13579,5000,Quarterly,2007-01-01,2029-12-28,2010-04-01,2010-09-26,USA,Central,Iowa,Sioux City,51106,500000,60000
1080,Prof. Colleen nan Fletcher,Corporate,Single,Female,1990-02-07,2007-01-02,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_1080,HSB_Lifeclaim_13579,5000,Quarterly,2007-01-02,2029-12-29,2010-04-02,2010-09-27,USA,Central,Illinois,Saint Charles,60174,500000,60000
2794,Doctor. Connie nan Bunn,Corporate,Divorced,Female,1990-02-05,2006-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2794,HSB_Lifeclaim_13579,5000,Quarterly,2006-12-31,2029-12-27,2010-03-31,2010-09-25,U.S,Central,Iowa,Marshalltown,50158,500000,60000
1405,Prof. Crystal nan Floyd,Home Office,Single,Male,1990-02-05,2010-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_1405,HSB_Jewel_02468,60000,Half Yearly,2010-01-01,2029-12-27,2010-07-01,2011-01-01,United States Of America,Central,Michigan,Battle Creek,49017,400000,60000
865,Professor Dana nan Burgess,Corporate,Single,Male,1990-02-05,2006-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_865,HSB_Lifeclaim_13579,5000,Quarterly,2006-12-31,2029-12-27,2010-03-31,2010-09-25,U.S,Central,Indiana,East Chicago,46312,500000,60000
3360,Dr. Daniel nan Huff,Home Office,Widowed,Male,1991-02-08,2008-01-03,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_3360,HSB_Lifeclaim_13579,5000,Quarterly,2008-01-03,2030-12-30,2011-04-03,2011-09-28,USA,Central,Wisconsin,West Allis,53214,500000,60000
381,Miss. Danielle nan Watts,Corporate,Single,Male,1990-02-08,2007-01-03,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_381,HSB_Lifeclaim_13579,5000,Quarterly,2007-01-03,2029-12-30,2010-04-03,2010-09-28,US,Central,Illinois,Bloomington,61701,500000,60000
1265,Prof. Danielle nan Kramer,Home Office,Single,Male,1990-02-07,2007-01-02,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_1265,HSB_Lifeclaim_13579,5000,Quarterly,2007-01-02,2029-12-29,2010-04-02,2010-09-27,U.S.A,Central,Oklahoma,Altus,73521,500000,60000
1816,Dr. Danielle nan Schneider,Consumer,Single,Male,1990-02-07,2007-01-02,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_1816,HSB_Lifeclaim_13579,5000,Quarterly,2007-01-02,2029-12-29,2010-04-02,2010-09-27,U.S.A,Central,Michigan,Canton,48187,500000,60000
2628,Prof. Danielle P Rao,Corporate,Single,Male,1990-02-06,2007-01-01,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2628,HSB_Lifeclaim_13579,5000,Quarterly,2007-01-01,2029-12-28,2010-04-01,2010-09-26,U.S.A,Central,Oklahoma,Moore,73160,500000,60000
2201,Doctor. David nan Hoyle,Small Business,Single,Male,1989-12-09,2007-01-02,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_2201,HSB_Auto_98765,2000,Monthly,2007-01-02,2029-12-29,2010-02-02,2010-03-02,U.S,Central,Minnesota,Bloomington,55420,200000,72000
2791,Prof. Dawn nan Larson,Corporate,Single,Male,1993-02-07,2010-01-02,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2791,HSB_Lifeclaim_13579,5000,Quarterly,2010-01-02,2032-12-29,2013-04-02,2013-09-27,US,Central,Michigan,Madison Heights,48071,500000,60000
1211,Dr. Debra nan Proctor,Corporate,Single,Male,1990-02-07,2007-01-02,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_1211,HSB_Lifeclaim_13579,5000,Quarterly,2007-01-02,2029-12-29,2010-04-02,2010-09-27,U.S.A,Central,Indiana,Fort Wayne,46806,500000,60000
2273,Doctor. Debra nan Block,Corporate,Single,Male,1990-02-05,2010-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_2273,HSB_Jewel_02468,60000,Half Yearly,2010-01-01,2029-12-27,2010-07-01,2011-01-01,United States Of America,Central,Texas,Harlingen,78550,400000,60000
2433,Professor Debra P May,Consumer,Single,Male,1990-02-06,2007-01-01,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2433,HSB_Lifeclaim_13579,5000,Quarterly,2007-01-01,2029-12-28,2010-04-01,2010-09-26,U.S,Central,Oklahoma,Moore,73160,500000,60000
1338,Prof. Denise nan McIntosh,Home Office,Single,Male,1990-02-09,2010-01-05,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_1338,HSB_Jewel_02468,60000,Half Yearly,2010-01-05,2029-12-31,2010-07-05,2011-01-05,U.S,Central,Illinois,Chicago,60623,400000,60000
1109,Doctor. Dennis nan Welch,Consumer,Single,Male,1989-12-09,2007-01-02,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_1109,HSB_Auto_98765,2000,Monthly,2007-01-02,2029-12-29,2010-02-02,2010-03-02,USA,Central,Texas,Laredo,78041,200000,72000
1793,Doctor. Derek nan Jernigan,Home Office,Single,Male,1989-12-10,2007-01-03,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_1793,HSB_Auto_98765,2000,Monthly,2007-01-03,2029-12-30,2010-02-03,2010-03-03,U.S,Central,Illinois,Galesburg,61401,200000,72000
1935,Prof. Diana Coble Hubbard,Home Office,Single,Male,1992-02-05,2008-12-30,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_1935,HSB_Lifeclaim_13579,5000,Quarterly,2008-12-30,2031-12-27,2012-03-30,2012-09-24,U.S.A,Central,Texas,Grand Prairie,75051,500000,60000
234,Mr. Don nan Cameron,Small Business,Single,Male,1992-02-05,2008-12-30,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_234,HSB_Lifeclaim_13579,5000,Quarterly,2008-12-30,2031-12-27,2012-03-30,2012-09-24,U.S,Central,Iowa,Newton,50208,500000,60000
1492,Prof. Don nan Beard,Corporate,Single,Male,1992-02-07,2012-01-02,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_1492,HSB_Jewel_02468,60000,Half Yearly,2012-01-02,2031-12-29,2012-07-02,2013-01-02,U.S,Central,Missouri,Ozark,65721,400000,60000
596,Prof. Doris nan Fitzpatrick,Consumer,Single,Male,1990-12-07,2007-12-31,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_596,HSB_Auto_98765,2000,Monthly,2007-12-31,2030-12-27,2011-01-31,2011-02-28,USA,Central,Indiana,Carmel,46032,200000,72000
2426,Professor Dorothy nan Holt,Small Business,Single,Male,1990-12-07,2007-12-31,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_2426,HSB_Auto_98765,2000,Monthly,2007-12-31,2030-12-27,2011-01-31,2011-02-28,U.S.A,Central,Texas,Irving,75061,200000,72000
1108,Prof. Dwight nan Bishop,Small Business,Single,Male,1991-02-05,2011-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_1108,HSB_Jewel_02468,60000,Half Yearly,2011-01-01,2030-12-27,2011-07-01,2012-01-01,U.S.A,Central,Texas,Lancaster,75146,400000,60000
2861,Professor Dwight nan Robinson,Corporate,Widowed,Male,1991-02-07,2011-01-03,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_2861,HSB_Jewel_02468,60000,Half Yearly,2011-01-03,2030-12-29,2011-07-03,2012-01-03,U.S.A,Central,Kansas,Hays,67601,400000,60000
94,Mister. Eddie House Mueller,Home Office,Single,Male,1991-02-05,2011-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_94,HSB_Jewel_02468,60000,Half Yearly,2011-01-01,2030-12-27,2011-07-01,2012-01-01,US,Central,Illinois,Chicago,60601,400000,60000
2203,Professor Eddie nan Walker,Home Office,Single,Male,1993-02-05,2013-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_2203,HSB_Jewel_02468,60000,Half Yearly,2013-01-01,2032-12-27,2013-07-01,2014-01-01,USA,Central,Minnesota,Brooklyn Park,55445,400000,60000
483,Mr Edgar nan McKenzie,Corporate,Single,Male,1993-02-05,2013-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_483,HSB_Jewel_02468,60000,Half Yearly,2013-01-01,2032-12-27,2013-07-01,2014-01-01,USA,Central,Illinois,Oswego,60543,400000,60000
3036,Doctor. Edith nan Reynolds,Home Office,Married,Male,1995-02-05,2011-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_3036,HSB_Lifeclaim_13579,5000,Quarterly,2011-12-31,2034-12-27,2015-03-31,2015-09-25,USA,Central,North Dakota,Mandan,58554,500000,60000
550,Mrs. Edna Monroe Talley,Corporate,Single,Male,1992-02-05,2011-12-30,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_550,HSB_Jewel_02468,60000,Half Yearly,2011-12-30,2031-12-27,2012-06-30,2012-12-31,U.S.A,Central,Texas,Seguin,78155,400000,60000
1561,Doctor. Edwin nan Coley,Corporate,Single,Male,1989-12-07,2006-12-31,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_1561,HSB_Auto_98765,2000,Monthly,2006-12-31,2029-12-27,2010-01-31,2010-02-28,U.S,Central,Texas,Mansfield,76063,200000,72000
1212,Professor Eileen nan Fletcher,Corporate,Single,Male,1990-02-05,2010-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_1212,HSB_Jewel_02468,60000,Half Yearly,2010-01-01,2029-12-27,2010-07-01,2011-01-01,USA,Central,Indiana,Gary,46404,400000,60000
2046,Professor Eileen nan Schwartz,Corporate,Single,Male,1994-02-05,2014-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_2046,HSB_Jewel_02468,60000,Half Yearly,2014-01-01,2033-12-27,2014-07-01,2015-01-01,USA,Central,Kansas,Liberal,67901,400000,60000
2958,Doctor. Ellen nan Sparks,Corporate,Married,Male,1991-02-05,2011-01-01,,12468.0,Mortgages,"Related to Ornaments, Property Claim",02468_2958,HSB_Jewel_02468,60000,Half Yearly,2011-01-01,2030-12-27,2011-07-01,2012-01-01,U.S,Central,Wisconsin,Neenah,54956,400000,60000
2944,Doctor. Elsie nan Lane,Corporate,Married,Male,1990-02-05,2006-12-31,,13579.0,Mediclaim,Related to Life or Personal Claim,13579_2944,HSB_Lifeclaim_13579,5000,Quarterly,2006-12-31,2029-12-27,2010-03-31,2010-09-25,U.S.A,Central,Michigan,Midland,48640,500000,60000
392,Mrs. Erica R Fuller,Corporate,Single,Male,1993-12-07,2010-12-31,,98765.0,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_392,HSB_Auto_98765,2000,Monthly,2010-12-31,2033-12-27,2014-01-31,2014-02-28,USA,Central,Missouri,Clayton,63105,200000,72000
